# RCA 에이전트 회차2 -> 회차3 비교 데이터
# 컨텍스트 토큰 = 리포트 총 in - coverage.overheadTokens (회차별 1자 프롬프트 프로브 실측)
# 표기: 값 = 프로브 실측 / CH-2 회차3만 chars x 0.524 추정 / AU-3 회차2는 조사 미실행이라 값 없음
# 모델 claude-opus-5 고정 / num_turns=1 / 앵커 anchors-v2 + 루브릭 v3 6항목
# 회차2 또는 회차3에 실행이 둘인 문항은 평균값

[1] 채점 점수 (변화량 큰 순)
문항,회차2,회차3,변화,비고
CH-3,4,85,81,지연 채널이 붙어 문항이 열림
AP-2,53,88,35,NPE 스택 로그가 컨텍스트에 도달
AU-2,65,85,20,메트릭만으로 파드 부재 특정 (회차2 = 76/54)
AP-1,90,98,8,자도 함께 개정됨
AU-4,85.5,88,2.5,원인 30이 네 번째 재현 (회차2 = 88/83)
IN-1,98,98,0,항목 분포까지 완전 동일
IN-2,99,98,-1,실행 간 편차 ±2 (회차2 100/98 · 회차3 96/100)
AP-3,97.5,95,-2.5,같은 데이터 재조회 (회차2 = 100/95)
CH-1,97.5,93,-4.5,회차4에서 100 (회차2 = 100/95)
CH-2,100,92.5,-7.5,실행1은 복구 1분 전에 질의 (회차3 = 85/100)
AU-3,0,81,,회차2는 주입 불성립(0점은 에이전트를 잰 값 아님) - 평균·델타 제외
10문항 평균,79.0,92.1,13.1,AU-3 제외

[1-b] 천장 효과
구간,문항 수,평균 변화
회차2 90점 미만,4,34.6
회차2 90점 이상,6,-1.3

[2] 컨텍스트 토큰 (탐색+분석 합계)
문항,회차2,회차2 overhead,회차3,회차3 overhead,변화율(%)
AU-4,145273,26576,115924,21309,-20.2
CH-3,170102,26576,137664,21309,-19.1
AP-3,85170,26576,85774,21629,0.7
CH-1,170070,26576,224565,21629,32.0
AP-1,71602,21247,103610,21309,44.7
AU-2,84418,26576,122766,21309,45.4
AP-2,68491,21331,111512,21629,62.8
IN-2,126892,26576,208057,29424,64.0
IN-1,117765,26576,249967,29424,112.3
CH-2,164958,26576,240868,프로브실패(-1),46.0  추정치(chars x 0.524)
AU-3,,,136997,21629,회차2는 조사 미실행(LLM 호출 0회) - 값 없음

[3] AP-1 도구 3단계 (분석 단계 컨텍스트 토큰)
단계,컨텍스트 토큰,기준 대비
회차2 기준선,49824,
① 도구 적용,144039,2.9배
② +메트릭 요약,128755,-10.6%
③ +DEBUG 로그 제외,77537,-46.2%
